prices1,prices2,prices3,prices4,prices5,prices6,prices7,prices8,prices9,prices10
8.7435642094199,0,116.433549962319,0,0,1383.01868338656,0,19306.7743634237,66.4983392789425,432.018199391899
0,182.525839193757,67.4538071163691,21.9692974053692,0,151894.120942762,0,10167.3257408069,134.962502854474,212.25426297291
0,125.397457909117,178.31913922236,0,0,83926.9927563592,13589.4260190939,0,38.5021689346081,2181.65906138675
0,206.203582278392,157.144729043905,0,0,84082.3963171907,0,0,77.557758014881,0
0.676367087356521,248.939662104414,113.452434332182,63.1436487319138,0,172862.122393425,20717.5363064638,0,106.011832028574,122.170622838058
0,156.69970400355,127.425240698977,48.9660987783693,0,68283.2435362053,30007.0978079564,0,49.1365734063066,4061.9946291811
6.62243217623732,323.877642833776,195.466206800468,4.11218521517434,146.055891539899,1095115.86468373,115494.668884851,0,101.219433400158,1573.7255348288
13.8354916719841,126.701756799303,75.5681362575225,0,0,0,530.731233220104,0,71.90981701656,342.084263889532
0,0,107.828478956178,65.7538954447384,0,112928.967130268,0,0,94.1197162218518,2242.70192333729
0,189.867274390302,130.822237356313,71.6299300129592,0,66127.3341937715,80841.5825419698,0,93.0263307237512,1212.61000903789
3.22466870964025,184.256592350076,120.755725836044,0,0,21881.2190453473,0,0,69.5232866453366,1261.19109764972
2.17258156149629,148.306916141852,153.498097473456,0,0,121750.871537491,0,0,49.255277164284,2131.25612220928
0.73714231717446,217.546581200976,133.892811663785,57.1861137878538,0,281748.160535932,0,0,87.2559882247115,1462.16235869182
0,203.893533474538,92.5268750915366,82.0983595838353,0,30527.4287705582,0,10139.1522074442,87.8782415344546,1214.47136108732
0,181.113348559807,168.805880207299,48.571145879998,0,115382.18616772,0,11563.9760773454,51.0591243502912,2539.98297022474
