lp_rates1,lp_rates2,lp_rates3,lp_rates4,lp_rates5,lp_rates6,lp_rates7,lp_rates8,lp_rates9,lp_rates10
3.2682200149297,0,129.064564587549,0,0,917.257728239827,2477.65922743457,1468.74145287349,74.6515717812639,0
3.91149940930255,176.894420269103,114.268859719748,69.4711116791898,0,917.257728239827,2477.65922743457,1468.74145287349,79.533821987728,0
6.22953665938301,175.964492710946,114.388881961018,64.3310217998511,0,50.0787701199297,0,0,68.283617663664,0
3.72925428268167,272.554922855857,101.145153214148,67.5994909467361,0,0,4.65661287307739e-10,0,84.3662598736629,0
4.36768691707712,178.600795923817,125.325350441249,71.2181591857179,0,917.257728239827,2477.65922743457,1468.74145287349,72.5353250565458,0
14.5980069475732,236.67250341581,100.987203144338,32.4694291909397,0,917.257728239827,0,0,58.5608143250004,0
3.5129199613665,242.641794402122,119.996315761672,105.629088735425,0,917.257728239827,0,0,81.7007556780015,0
0.56920925046233,217.511857235394,130.522464993081,110.070858854306,0,917.257728239827,2477.65922743457,1468.74145287349,77.1043765221643,0
7.76534611399832,210.14008780734,130.415130911056,72.4537497912211,0,917.257728239827,2477.65922743457,1468.74145287349,60.0907659807721,0
2.67135625368416,211.254349472261,86.6329999456208,103.815831429683,0,917.257728239827,0,0,90.242672329357,0
